epiweek;uf_code;cases;temp_min;temp_med;temp_max;precip_min;precip_med;precip_max;pressure_min;pressure_med;pressure_max;rel_humid_min;rel_humid_med;rel_humid_max;thermal_range;rainy_days
201001;32;164;22.06861447;25.61625897;30.14767656;0.100680769;2.524137179;10.08119359;0.95760641;0.959345604;0.960813004;53.92438315;75.34509249;91.95203315;8.079062088;7
201002;32;206;22.16048901;25.96732399;30.59881685;0.107910256;1.781939744;6.696673077;0.95861978;0.960276923;0.961698352;49.5463489;72.50907326;91.3218685;8.438327839;7
201003;32;211;22.10881117;26.03222326;30.97218425;0.201264103;2.576892308;9.264528205;0.958821062;0.960812454;0.962218498;47.87415824;72.00789066;91.43050513;8.863373077;7
201004;32;202;21.91606593;25.74237509;30.3409033;0.369162821;2.988146154;6.776528205;0.958236081;0.959823443;0.961180952;48.19440403;72.14061667;91.83478168;8.424837363;7
201005;32;230;21.96130201;25.91983425;30.67875714;0.300452564;4.620033333;14.33297821;0.959798168;0.961575458;0.962943956;49.73859817;72.95737674;92.73574927;8.717455128;7
201006;32;256;22.16577637;26.1373804;30.72728498;0.209814103;2.889810256;8.557462821;0.957910623;0.959565751;0.960943223;49.54020018;71.70379212;91.7338;8.561508608;7
201007;32;319;22.29895037;26.28272015;31.10987088;0.407603846;4.163652564;11.34212564;0.959098535;0.961032234;0.96247967;49.29729176;73.01044524;93.18981648;8.810920513;7
201008;32;420;22.43638443;26.32406392;31.23643919;1.333553846;15.86395641;54.55173077;0.956902015;0.959010256;0.96068663;47.84835275;70.85719579;90.45702985;8.800054762;7
201009;32;585;21.51229341;23.27128718;26.17286337;8.101891026;37.43565897;94.98169487;0.957410806;0.959045788;0.960494322;74.18636667;86.38625769;93.9884196;4.660569963;7
201010;32;652;22.79127454;25.95409121;30.23369597;4.013889744;21.94324103;67.58413205;0.954297985;0.955918864;0.957622711;66.25259249;83.3868793;95.17164029;7.442421429;7
201011;32;925;21.80783956;24.51884505;28.12345238;0.854811538;10.22014872;33.88032821;0.959860256;0.961597802;0.963418864;65.86183553;82.69019176;94.87807363;6.315612821;7
201012;32;679;21.69096575;24.68941392;28.60413553;1.188279487;9.0764;29.59933205;0.958198535;0.959774908;0.961286447;66.54031245;83.3521119;95.39796227;6.91316978;7
201013;32;794;21.86280604;24.39664396;27.93752619;1.564296154;13.0056141;39.66263205;0.958198718;0.959777656;0.961265201;66.98457601;83.80600659;95.836337;6.074720147;7
201014;32;1065;19.37165879;22.24850769;25.72163498;7.567983333;29.56083846;85.09613077;0.957262637;0.958999084;0.960520513;62.48443223;78.89465604;91.78989505;6.34997619;7
201015;32;957;18.56394194;21.12474066;24.50557802;1.464714103;12.00352179;29.77250256;0.962369414;0.963977839;0.965451648;67.57685183;83.25719487;94.60123242;5.941636081;7
201016;32;1106;19.64654377;23.1093848;27.43669048;0.150220513;2.723505128;12.78288974;0.960046337;0.961833333;0.963454762;59.13204799;80.90902582;95.97667216;7.790146703;7
201017;32;1218;20.11358974;22.57693333;25.80330971;1.353505128;9.420332051;26.05394103;0.960642857;0.962344505;0.964113004;66.92360037;83.50683718;95.36797564;5.689719963;7
201018;32;1206;17.10246813;21.43771136;26.51972912;0.117142308;1.458933333;6.969546154;0.960734432;0.962648352;0.964213187;52.11434249;77.12029707;94.54463462;9.417260989;7
201019;32;1312;18.1198152;20.98660824;24.49577747;3.228980769;20.02809231;51.70402436;0.959452198;0.961061722;0.962845971;66.02852418;81.94256703;93.97342179;6.375962271;7
201020;32;1274;17.7590456;21.16361227;24.95312216;0.267470513;2.750158974;6.791533333;0.959448352;0.961243407;0.962767216;63.84084524;82.71016502;96.66682363;7.194076557;7
201021;32;1080;18.25782253;20.82526703;24.13442747;1.01025;6.656632051;19.35825385;0.961029487;0.962394505;0.963937912;67.94142821;84.30581447;95.23352949;5.876604945;7
201022;32;945;16.90880403;19.43456484;22.65495293;1.411239744;7.986538462;19.86830385;0.963864652;0.965907692;0.967792308;65.1428152;80.63151886;91.70584744;5.746148901;7
201023;32;876;15.21817106;18.47289524;22.33308516;0.125253846;1.217296154;3.013230769;0.965220513;0.96658663;0.968099267;57.85192253;77.99199744;92.89634487;7.114914103;7
201024;32;714;13.58131905;18.06059267;23.14617766;0.040501282;0.199591026;0.922158974;0.963604029;0.965482051;0.967092857;51.27843828;72.90506355;89.45915531;9.564858608;6
