date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,19,12,30,8,45,6,58,5,71
2026-10-11,20,12,33,8,50,6,63,5,78
2026-10-18,19,12,31,8,47,6,60,5,75
2026-10-25,20,12,33,8,50,6,64,5,80
2026-11-01,22,13,36,8,55,7,71,5,89
2026-11-08,21,13,34,8,53,6,69,5,86
2026-11-15,23,14,38,9,60,7,78,5,99
2026-11-22,25,15,41,9,64,7,84,6,105
2026-11-29,25,15,41,10,64,7,84,6,109
2026-12-06,28,17,47,11,73,8,97,6,123
2026-12-13,30,18,49,11,78,9,103,7,131
2026-12-20,30,18,49,11,78,8,103,7,135
2026-12-27,34,20,57,13,90,10,119,8,153
2027-01-03,35,21,59,13,93,10,124,8,161
2027-01-10,36,22,60,14,95,10,126,8,166
2027-01-17,41,25,69,15,110,12,146,9,187
2027-01-24,41,25,69,16,111,12,147,9,191
2027-01-31,43,26,72,16,115,12,152,10,197
2027-02-07,48,29,80,18,130,14,171,11,218
2027-02-14,47,28,79,18,128,13,168,11,217
2027-02-21,50,30,84,19,136,14,178,11,227
2027-02-28,55,33,92,20,148,16,194,12,248
2027-03-07,54,32,90,20,146,15,191,12,245
2027-03-14,57,34,96,21,155,16,203,13,259
2027-03-21,60,35,100,22,161,17,211,13,269
2027-03-28,59,35,99,22,159,17,209,13,269
2027-04-04,62,37,103,23,166,18,219,14,280
2027-04-11,61,37,103,23,166,17,218,14,280
2027-04-18,60,36,101,23,163,17,214,13,275
2027-04-25,61,36,102,23,164,17,218,14,278
2027-05-02,59,35,98,22,158,17,210,13,270
2027-05-09,57,34,96,22,155,16,206,13,262
2027-05-16,56,33,94,21,151,16,201,12,256
2027-05-23,53,32,89,20,143,15,191,12,244
2027-05-30,52,31,87,19,141,15,187,11,237
2027-06-06,49,29,83,18,134,14,179,11,228
2027-06-13,46,28,78,17,126,13,168,10,215
2027-06-20,45,26,76,16,123,12,163,10,207
2027-06-27,42,25,72,16,117,12,156,9,200
2027-07-04,39,23,67,15,109,11,147,8,188
2027-07-11,38,22,66,14,107,10,143,8,184
2027-07-18,36,21,63,13,102,10,137,8,178
2027-07-25,34,20,59,12,96,9,130,7,167
2027-08-01,34,19,59,12,96,9,129,7,168
2027-08-08,32,18,56,11,92,9,125,7,161
2027-08-15,30,17,53,11,87,8,119,6,154
2027-08-22,30,17,53,10,87,8,118,6,154
2027-08-29,29,17,51,10,85,7,116,6,151
2027-09-05,28,16,49,10,82,7,112,6,147
2027-09-12,28,16,50,10,83,7,113,5,148
2027-09-19,28,16,50,10,83,7,114,6,148
2027-09-26,27,15,48,9,80,7,110,5,144
2027-10-03,28,16,50,9,84,7,114,5,149
